"university";"country";"score";"year"
"Creighton University";"USA";45.15;2014
"Bielefeld University";"Germany";45.15;2014
"University of Malaya";"Malaysia";45.15;2014
"University of Ulsan";"South Korea";45.14;2014
"City University London";"United Kingdom";45.14;2014
"Grenoble Institute of Technology";"France";45.14;2014
"Federal University of Minas Gerais";"Brazil";45.14;2014
"University of Hanover";"Germany";45.14;2014
"South China University of Technology";"China";45.12;2014
"University of Surrey";"United Kingdom";45.12;2014
"Otto-von-Guericke University Magdeburg";"Germany";45.11;2014
"Indian Institute of Science";"India";45.11;2014
"Tokyo Metropolitan University";"Japan";45.11;2014
"Bar-Ilan University";"Israel";45.11;2014
"Mississippi State University";"USA";45.11;2014
"University of Maryland, Baltimore County";"USA";45.1;2014
"University of Wollongong";"Australia";45.1;2014
"Flinders University";"Australia";45.1;2014
"Martin Luther University of Halle-Wittenberg";"Germany";45.1;2014
"Graduate University for Advanced Studies";"Japan";45.09;2014
"Clemson University";"USA";45.09;2014
"University of Brescia";"Italy";45.07;2014
"Georgia State University";"USA";45.07;2014
"Dongguk University";"South Korea";45.07;2014
"University of Fribourg";"Switzerland";45.05;2014
"Sichuan University";"China";45.05;2014
"University of Iceland";"Iceland";45.05;2014
"University of Sherbrooke";"Canada";45.05;2014
"University of Graz";"Austria";45.04;2014
"University of Málaga";"Spain";45.04;2014
"University of Zaragoza";"Spain";45.04;2014
"New York Medical College";"USA";45.04;2014
"SUNY Downstate Medical Center";"USA";45.03;2014
"École Centrale Paris";"France";45.03;2014
"Utah State University";"USA";45.03;2014
"University of Ljubljana";"Slovenia";45.02;2014
"University of Montpellier 1";"France";45.02;2014
"Victoria University of Wellington";"New Zealand";45.01;2014
"East China University of Science and Technology";"China";45.01;2014
"Konkuk University";"South Korea";45.01;2014
"University of Potsdam";"Germany";45.01;2014
"University of the Basque Country";"Spain";45.01;2014
"University of Nice Sophia Antipolis";"France";45.01;2014
"University of Udine";"Italy";45.01;2014
"National Yang-Ming University";"Taiwan";45.01;2014
"Indian Institute of Technology Bombay";"India";45.0;2014
"University of Bayreuth";"Germany";44.99;2014
"University of Wisconsin–Milwaukee";"USA";44.99;2014
"University of Dayton";"USA";44.99;2014
"Nihon University";"Japan";44.98;2014
"Montana State University - Bozeman";"USA";44.98;2014
"Royal Holloway, University of London";"United Kingdom";44.98;2014
"Tokyo Women's Medical University";"Japan";44.98;2014
"Panjab University";"India";44.97;2014
"Tampere University of Technology";"Finland";44.97;2014
"University of Coimbra";"Portugal";44.97;2014
"University of Newcastle";"Australia";44.97;2014
"Nara Institute of Science and Technology";"Japan";44.96;2014
"Auburn University";"USA";44.96;2014
"University of Bremen";"Germany";44.96;2014
"Mahidol University";"Thailand";44.96;2014
"University of Crete";"Greece";44.96;2014
"Bangor University";"United Kingdom";44.95;2014
"University of Aveiro";"Portugal";44.95;2014
"University of Palermo";"Italy";44.94;2014
"Nagoya City University";"Japan";44.94;2014
"University of Tartu";"Estonia";44.94;2014
"University of Savoy";"France";44.94;2014
"University of Tromsø - The Arctic University of Norway";"Norway";44.94;2014
"University of Missouri–Kansas City";"USA";44.93;2014
"Beihang University";"China";44.93;2014
"American University of Beirut";"Lebanon";44.93;2014
"University of Nantes";"France";44.93;2014
"University of Essex";"United Kingdom";44.92;2014
"University of Zagreb";"Croatia";44.92;2014
"National Central University";"Taiwan";44.92;2014
"University Lille 1: Sciences and Technologies";"France";44.92;2014
"University of Catania";"Italy";44.91;2014
"National Polytechnic Institute of Toulouse";"France";44.91;2014
"Indian Institute of Technology Kanpur";"India";44.91;2014
"Kagoshima University";"Japan";44.9;2014
"Lanzhou University";"China";44.9;2014
"James Cook University";"Australia";44.9;2014
"Shizuoka University";"Japan";44.89;2014
"Indian Institute of Technology Kharagpur";"India";44.89;2014
"Second University of Naples";"Italy";44.89;2014
"Indian Institute of Technology Madras";"India";44.89;2014
"Plymouth University";"United Kingdom";44.88;2014
"International School for Advanced Studies";"Italy";44.87;2014
"Polytechnic University of Turin";"Italy";44.85;2014
"University of Oviedo";"Spain";44.85;2014
"Ehime University";"Japan";44.85;2014
"University of Ioannina";"Greece";44.85;2014
"University of Cagliari";"Italy";44.85;2014
"Tottori University";"Japan";44.85;2014
"Federal University of Rio Grande do Sul";"Brazil";44.85;2014
"Kent State University";"USA";44.85;2014
"University of Los Andes (Colombia)";"Colombia";44.85;2014
"Hunan University";"China";44.84;2014
"Tokai University";"Japan";44.84;2014
"LSU Health Sciences Center New Orleans";"USA";44.84;2014
"Southern Illinois University Carbondale";"USA";44.83;2014
"Tata Institute of Fundamental Research";"India";44.83;2014
"Aalborg University";"Denmark";44.83;2014
"Osaka Prefecture University";"Japan";44.83;2014
"Chang Gung University";"Taiwan";44.82;2014
"Northern Illinois University";"USA";44.82;2014
"University of Trento";"Italy";44.82;2014
"Semmelweis University";"Hungary";44.82;2014
"University of Science and Technology Beijing";"China";44.82;2014
"National University of Ireland, Galway";"Ireland";44.82;2014
"Dankook University";"South Korea";44.82;2014
"Istanbul University";"Turkey";44.81;2014
"Tokyo University of Agriculture and Technology";"Japan";44.81;2014
"University of Montana - Missoula";"USA";44.81;2014
"Queensland University of Technology";"Australia";44.81;2014
"Binghamton University";"USA";44.8;2014
"Université de Namur";"Belgium";44.8;2014
"University of Tasmania";"Australia";44.8;2014
"University of Pretoria";"South Africa";44.8;2014
"Central China Normal University";"China";44.79;2014
"Indian Institute of Technology Roorkee";"India";44.79;2014
"Curtin University";"Australia";44.79;2014
"Deakin University";"Australia";44.79;2014
"Tilburg University";"Netherlands";44.78;2014
"Inha University";"South Korea";44.78;2014
"University of New Orleans";"USA";44.78;2014
"Paris-Est Créteil Val-de-Marne University";"France";44.77;2014
"University of L'Aquila";"Italy";44.77;2014
"Chungnam National University";"South Korea";44.77;2014
"University of Salamanca";"Spain";44.77;2014
"University of Alaska Fairbanks";"USA";44.77;2014
"University of Poitiers";"France";44.77;2014
"Albany Medical College";"USA";44.76;2014
"Birkbeck, University of London";"United Kingdom";44.76;2014
"Griffith University";"Australia";44.76;2014
"Federal University of São Paulo";"Brazil";44.76;2014
"Carleton University";"Canada";44.75;2014
"Massey University";"New Zealand";44.75;2014
"Catholic University of Korea";"South Korea";44.74;2014
"Open University (UK)";"United Kingdom";44.74;2014
"University of Patras";"Greece";44.74;2014
"Universidade Nova de Lisboa";"Portugal";44.74;2014
"Texas A&M Health Science Center";"USA";44.74;2014
"Braunschweig University of Technology";"Germany";44.74;2014
"National Chung Hsing University";"Taiwan";44.74;2014
"La Trobe University";"Australia";44.73;2014
"Missouri University of Science and Technology";"USA";44.73;2014
"University of Idaho";"USA";44.73;2014
"Louisiana Tech University";"USA";44.73;2014
"University of Portsmouth";"United Kingdom";44.73;2014
"University of La Laguna";"Spain";44.73;2014
"Florida International University";"USA";44.73;2014
"Medical University of Graz";"Austria";44.72;2014
"Howard University";"USA";44.72;2014
"University of Hertfordshire";"United Kingdom";44.72;2014
"State University of New York Upstate Medical University";"USA";44.72;2014
"Royal College of Surgeons in Ireland";"Ireland";44.72;2014
"National Technical University of Athens";"Greece";44.72;2014
"University of Windsor";"Canada";44.72;2014
"Rovira i Virgili University";"Spain";44.71;2014
"University of Burgundy";"France";44.71;2014
"Gunma University";"Japan";44.71;2014
"AGH University of Science and Technology";"Poland";44.71;2014
"Gifu University";"Japan";44.71;2014
"Hacettepe University";"Turkey";44.71;2014
"Örebro University";"Sweden";44.7;2014
"Memorial University of Newfoundland";"Canada";44.7;2014
"Kindai University";"Japan";44.7;2014
"University of Rhode Island";"USA";44.7;2014
"University of Alicante";"Spain";44.7;2014
"New Jersey Institute of Technology";"USA";44.69;2014
"Lille 2 University of Health and Law";"France";44.69;2014
"Keele University";"United Kingdom";44.69;2014
"University of Jyväskylä";"Finland";44.69;2014
"Rochester Institute of Technology";"USA";44.69;2014
"Sapporo Medical University";"Japan";44.69;2014
"Banaras Hindu University";"India";44.69;2014
"King Abdullah University of Science and Technology";"Saudi Arabia";44.69;2014
"Northeast Normal University";"China";44.69;2014
"Portland State University";"USA";44.68;2014
"University of Québec at Montreal";"Canada";44.68;2014
"East China Normal University";"China";44.68;2014
"University of Debrecen";"Hungary";44.68;2014
"Loma Linda University";"USA";44.68;2014
"Old Dominion University";"USA";44.68;2014
"University of Insubria";"Italy";44.67;2014
"University of Nevada, Las Vegas";"USA";44.67;2014
"Hong Kong Baptist University";"Hong Kong";44.67;2014
"University of Minho";"Portugal";44.67;2014
"University of Messina";"Italy";44.67;2014
"University of Texas at Arlington";"USA";44.67;2014
"University François Rabelais, Tours";"France";44.67;2014
"UNESP, São Paulo State University";"Brazil";44.67;2014
"Toho University";"Japan";44.67;2014
"Beijing University of Chemical Technology";"China";44.67;2014
"Rutgers, The State University of New Jersey - Newark";"USA";44.66;2014
"Johannes Kepler University of Linz";"Austria";44.66;2014
"Warsaw University of Technology";"Poland";44.66;2014
"University of Paris 13";"France";44.66;2014
"University of Toyama";"Japan";44.66;2014
"University of Toledo";"USA";44.66;2014
"University of Vigo";"Spain";44.66;2014
"University of Kent";"United Kingdom";44.65;2014
"Jichi Medical University";"Japan";44.65;2014
"Roma Tre University";"Italy";44.65;2014
"Chung Yuan Christian University";"Taiwan";44.65;2014
"University of Haifa";"Israel";44.65;2014
"Åbo Akademi University";"Finland";44.65;2014
"Swansea University";"United Kingdom";44.65;2014
"China Agricultural University";"China";44.64;2014
"Marche Polytechnic University";"Italy";44.64;2014
"University of Maine, Orono";"USA";44.64;2014
"Heriot-Watt University";"United Kingdom";44.64;2014
"Marquette University";"USA";44.64;2014
"Loughborough University";"United Kingdom";44.63;2014
"Kaiserslautern University of Technology";"Germany";44.63;2014
"Aston University";"United Kingdom";44.63;2014
"University of Girona";"Spain";44.63;2014
"Hasselt University";"Belgium";44.63;2014
"Nanjing University of Science and Technology";"China";44.63;2014
"University of Natural Resources and Life Sciences, Vienna";"Austria";44.63;2014
"University of Szeged";"Hungary";44.63;2014
"Soochow University (Suzhou)";"China";44.63;2014
"University of the Balearic Islands";"Spain";44.63;2014
"Fuzhou University";"China";44.63;2014
"University of Memphis";"USA";44.62;2014
"San Francisco State University";"USA";44.62;2014
"East Carolina University";"USA";44.62;2014
"University of Augsburg";"Germany";44.62;2014
"University of Missouri–St. Louis";"USA";44.62;2014
"Kyoto Prefectural University of Medicine";"Japan";44.62;2014
"Shanghai University";"China";44.62;2014
"University of South Australia";"Australia";44.62;2014
"Liverpool John Moores University";"United Kingdom";44.61;2014
"Graz University of Technology";"Austria";44.61;2014
"Kitasato University";"Japan";44.61;2014
"University of North Carolina at Charlotte";"USA";44.61;2014
"G. d'Annunzio University, Chieti-Pescara";"Italy";44.61;2014
"University of Cantabria";"Spain";44.61;2014
"Miguel Hernández University of Elche";"Spain";44.61;2014
"Donghua University";"China";44.61;2014
"Comenius University in Bratislava";"Slovak Republic";44.6;2014
"University of Alabama in Huntsville";"USA";44.6;2014
"Mie University";"Japan";44.6;2014
"University of Stirling";"United Kingdom";44.6;2014
"Hunter College";"USA";44.6;2014
"Swinburne University of Technology";"Australia";44.6;2014
"University of Ulster";"United Kingdom";44.6;2014
"University of Évry Val d'Essonne";"France";44.59;2014
"University of Salerno";"Italy";44.59;2014
"National University of La Plata";"Argentina";44.59;2014
"Masaryk University";"Czech Republic";44.59;2014
"Yamaguchi University";"Japan";44.59;2014
"University of Yamanashi";"Japan";44.59;2014
"Showa University";"Japan";44.59;2014
"North Dakota State University - Main Campus";"USA";44.59;2014
"University of North Texas, Denton";"USA";44.59;2014
"University of Mississippi Medical Center";"USA";44.58;2014
"University of Tehran";"Iran";44.58;2014
"Paul Valéry University, Montpellier III";"France";44.58;2014
"Wuhan University of Technology";"China";44.58;2014
"University of Hyogo";"Japan";44.58;2014
"The Catholic University of America";"USA";44.58;2014
"University of Neuchâtel";"Switzerland";44.58;2014
"National Polytechnic Institute";"Mexico";44.58;2014
"Jikei University School of Medicine";"Japan";44.58;2014
"University of Valladolid";"Spain";44.57;2014
"University of Calabria";"Italy";44.57;2014
"University of Lübeck";"Germany";44.57;2014
"Kurume University";"Japan";44.57;2014
"Peking Union Medical College";"China";44.57;2014
"Yamagata University";"Japan";44.57;2014
"University of Córdoba (Spain)";"Spain";44.57;2014
"University of Mons";"Belgium";44.57;2014
"Saga University";"Japan";44.57;2014
"Clarkson University";"USA";44.57;2014
"University of South Alabama";"USA";44.56;2014
"Inje University";"South Korea";44.56;2014
"University of Caen Lower Normandy";"France";44.56;2014
"University of Castilla–La Mancha";"Spain";44.56;2014
"Czech Technical University in Prague";"Czech Republic";44.56;2014
"Saitama Medical University";"Japan";44.56;2014
"Istanbul Technical University";"Turkey";44.56;2014
"Kaohsiung Medical University";"Taiwan";44.56;2014
"University of Electro-Communications";"Japan";44.56;2014
"Yeungnam University";"South Korea";44.55;2014
"Jawaharlal Nehru Centre for Advanced Scientific Research";"India";44.55;2014
"Putra University, Malaysia";"Malaysia";44.55;2014
"Institut national des sciences Appliquées de Lyon";"France";44.55;2014
"University of Perpignan Via Domitia";"France";44.55;2014
"University of Miyazaki";"Japan";44.55;2014
"Second Military Medical University";"China";44.55;2014
"Northern Arizona University";"USA";44.55;2014
"École Polytechnique de Montréal";"Canada";44.55;2014
"University of Salento";"Italy";44.54;2014
"Fukuoka University";"Japan";44.54;2014
"Nagoya Institute of Technology";"Japan";44.54;2014
"Ankara University";"Turkey";44.54;2014
"Blaise Pascal University";"France";44.54;2014
"University of Electronic Science and Technology of China";"China";44.54;2014
"National Sun Yat-sen University";"Taiwan";44.54;2014
"University of Rouen";"France";44.54;2014
"Bowling Green State University";"USA";44.54;2014
"Norwegian University of Life Sciences";"Norway";44.54;2014
"University of Picardie Jules Verne";"France";44.54;2014
"Michigan Technological University";"USA";44.53;2014
"University of Concepción";"Chile";44.53;2014
"China Medical University (Taiwan)";"Taiwan";44.53;2014
"University of Hohenheim";"Germany";44.53;2014
"Aberystwyth University";"United Kingdom";44.53;2014
"Wilfrid Laurier University";"Canada";44.53;2014
"Cairo University";"Egypt";44.52;2014
"University of Murcia";"Spain";44.52;2014
"Palacký University, Olomouc";"Czech Republic";44.52;2014
"Taipei Medical University";"Taiwan";44.52;2014
"University of Bradford";"United Kingdom";44.52;2014
"King Fahd University of Petroleum and Minerals";"Saudi Arabia";44.52;2014
"Ege University";"Turkey";44.52;2014
"University of Belgrade";"Serbia";44.51;2014
"University of Eastern Piedmont Amedeo Avogadro""""";"Italy";44.51;2014
"Budapest University of Technology and Economics";"Hungary";44.51;2014
"University of Salzburg";"Austria";44.51;2014
"University of Massachusetts Lowell";"USA";44.51;2014
"Jaume I University";"Spain";44.5;2014
"Chongqing University";"China";44.5;2014
"Beijing Institute of Technology";"China";44.5;2014
"Manchester Metropolitan University";"United Kingdom";44.5;2014
"Zhengzhou University";"China";44.49;2014
"Dublin City University";"Ireland";44.49;2014
"National University of Ireland, Maynooth";"Ireland";44.49;2014
"Kangwon National University";"South Korea";44.49;2014
"Royal Veterinary College, University of London";"United Kingdom";44.49;2014
"Wright State University - Dayton";"USA";44.49;2014
"Capital Medical University";"China";44.48;2014
"University of Brighton";"United Kingdom";44.48;2014
"Sofia University";"Bulgaria";44.48;2014
"University of Regina";"Canada";44.48;2014
"Magna Græcia University of Catanzaro";"Italy";44.48;2014
"Chungbuk National University";"South Korea";44.47;2014
"Kōchi University";"Japan";44.47;2014
"University of New Brunswick";"Canada";44.47;2014
"Sejong University";"South Korea";44.47;2014
"Sharif University of Technology";"Iran";44.47;2014
"Chung-Ang University";"South Korea";44.47;2014
"Queens College, City University of New York";"USA";44.46;2014
"Murdoch University";"Australia";44.46;2014
"Chosun University";"South Korea";44.46;2014
"Vilnius University";"Lithuania";44.46;2014
"University of Maribor";"Slovenia";44.46;2014
"Ritsumeikan University";"Japan";44.46;2014
"University of Sassari";"Italy";44.46;2014
"Nanjing Normal University";"China";44.45;2014
"University of Franche-Comté";"France";44.45;2014
"University of Texas at El Paso";"USA";44.45;2014
"Rio de Janeiro State University";"Brazil";44.45;2014
"Jinan University";"China";44.45;2014
"University of Massachusetts Boston";"USA";44.45;2014
"University of Alcalá";"Spain";44.45;2014
"Tehran University of Medical Sciences";"Iran";44.45;2014
"University of the Ryukyus";"Japan";44.45;2014
"University of Angers";"France";44.45;2014
"Fluminense Federal University";"Brazil";44.45;2014
"Florida Institute of Technology";"USA";44.44;2014
"Trent University";"Canada";44.44;2014
"National Chung Cheng University";"Taiwan";44.44;2014
"Bilkent University";"Turkey";44.44;2014
"National Taiwan Normal University";"Taiwan";44.44;2014
"Saitama University";"Japan";44.44;2014
"RMIT University";"Australia";44.44;2014
"Hamamatsu University School of Medicine";"Japan";44.44;2014
"University of Greifswald";"Germany";44.44;2014
"University of Pécs";"Hungary";44.44;2014
"University of Fukui";"Japan";44.44;2014
"Oakland University";"USA";44.44;2014
"Nanjing University of Technology";"China";44.44;2014
"University of Technology, Sydney";"Australia";44.43;2014
"University of North Carolina at Greensboro";"USA";44.43;2014
"All India Institute of Medical Sciences, New Delhi";"India";44.43;2014
"Kyoto Institute of Technology";"Japan";44.43;2014
"Ocean University of China";"China";44.43;2014
"Chiang Mai University";"Thailand";44.43;2014
"University of Camerino";"Italy";44.43;2014
"Hirosaki University";"Japan";44.43;2014
"University of North Dakota";"USA";44.43;2014
"University of Extremadura";"Spain";44.42;2014
"Teikyo University";"Japan";44.42;2014
"Jiangnan University";"China";44.42;2014
"Adam Mickiewicz University in Poznań";"Poland";44.42;2014
"University of Waikato";"New Zealand";44.42;2014
"University of Veterinary Medicine Vienna";"Austria";44.42;2014
"University of Cádiz";"Spain";44.42;2014
"Florida Atlantic University";"USA";44.42;2014
"Huazhong Agricultural University";"China";44.41;2014
"Brock University";"Canada";44.41;2014
"University of Lleida";"Spain";44.41;2014
"Shanghai Normal University";"China";44.41;2014
"Jean Monnet University";"France";44.41;2014
"Shimane University";"Japan";44.41;2014
"University of Orléans";"France";44.41;2014
"University of Siegen";"Germany";44.41;2014
"Makerere University";"Uganda";44.4;2014
"University of Wales, Trinity Saint David";"United Kingdom";44.4;2014
"National Taiwan University of Science and Technology";"Taiwan";44.4;2014
"University of Brasília";"Brazil";44.4;2014
"University of Western Brittany";"France";44.4;2014
"Nanjing Agricultural University";"China";44.4;2014
"National University of Córdoba";"Argentina";44.39;2014
"Federal University of Santa Catarina";"Brazil";44.39;2014
"National Taiwan Ocean University";"Taiwan";44.39;2014
"Gazi University";"Turkey";44.39;2014
"National University of Colombia";"Colombia";44.39;2014
"University of Jaén";"Spain";44.39;2014
"Boğaziçi University";"Turkey";44.39;2014
"Jadavpur University";"India";44.39;2014
"Pukyong National University";"South Korea";44.39;2014
"University of Western Sydney";"Australia";44.39;2014
"Northeastern University (China)";"China";44.39;2014
"University of Mannheim";"Germany";44.39;2014
"University of Osnabrück";"Germany";44.38;2014
"Charles Darwin University";"Australia";44.38;2014
"University of Hyderabad";"India";44.38;2014
"Northwest University (China)";"China";44.38;2014
"University of Southern Mississippi";"USA";44.38;2014
"University of Wrocław";"Poland";44.38;2014
"Carlos III University of Madrid";"Spain";44.38;2014
"Novosibirsk State University";"Russia";44.38;2014
"Nanjing Medical University";"China";44.38;2014
"Nicolaus Copernicus University in Toruń";"Poland";44.38;2014
"Federal University of Santa Maria";"Brazil";44.37;2014
"Chemnitz University of Technology";"Germany";44.37;2014
"Southwest University";"China";44.37;2014
"Wrocław University of Technology";"Poland";44.37;2014
"University of California, Merced";"USA";44.37;2014
"United Arab Emirates University";"United Arab Emirates";44.36;2014
"Federal University of São Carlos";"Brazil";44.36;2014
"University of Thessaly";"Greece";44.36;2014
"University of Basilicata";"Italy";44.36;2014
"Feng Chia University";"Taiwan";44.36;2014
"Federal University of Paraná";"Brazil";44.36;2014
"University of Almería";"Spain";44.36;2014
"Hallym University";"South Korea";44.36;2014
"Fourth Military Medical University";"China";44.36;2014
"University of the Republic (Uruguay)";"Uruguay";44.35;2014
"Dokuz Eylül University";"Turkey";44.35;2014
"Nanjing University of Aeronautics and Astronautics";"China";44.35;2014
"Public University of Navarre";"Spain";44.35;2014
"University of A Coruña";"Spain";44.35;2014
"Isfahan University of Technology";"Iran";44.34;2014
"University of New England (Australia)";"Australia";44.34;2014
"Federal University of Pernambuco";"Brazil";44.34;2014
"Jiangsu University";"China";44.34;2014
"Third Military Medical University";"China";44.34;2014
"South China Normal University";"China";44.33;2014
"University of Limerick";"Ireland";44.33;2014
"Xiangtan University";"China";44.33;2014
"Yangzhou University";"China";44.33;2014
"Northwestern Polytechnical University";"China";44.33;2014
"University of Reims Champagne-Ardenne";"France";44.33;2014
"Ibaraki University";"Japan";44.33;2014
"Chung Shan Medical University";"Taiwan";44.32;2014
"Alexandria University";"Egypt";44.32;2014
"Yuan Ze University";"Taiwan";44.32;2014
"University of Cyprus";"Cyprus";44.32;2014
"University of Silesia";"Poland";44.32;2014
"Southern Medical University";"China";44.32;2014
"Shiraz University";"Iran";44.32;2014
"University of Bucharest";"Romania";44.32;2014
"Mansoura University";"Egypt";44.31;2014
"Amirkabir University of Technology";"Iran";44.31;2014
"Beijing Jiaotong University";"China";44.31;2014
"University of Valenciennes and Hainaut-Cambresis";"France";44.31;2014
"University of the Algarve";"Portugal";44.31;2014
"University of Chemistry and Technology, Prague";"Czech Republic";44.31;2014
"Federal University of Ceará";"Brazil";44.31;2014
"Ain Shams University";"Egypt";44.31;2014
"University of Oldenburg";"Germany";44.31;2014
"Federal University of Bahia";"Brazil";44.31;2014
"Hunan Normal University";"China";44.3;2014
"Western Michigan University";"USA";44.3;2014
"University of Seoul";"South Korea";44.3;2014
"Federico Santa María Technical University";"Chile";44.3;2014
"Ryerson University";"Canada";44.3;2014
"South China Agricultural University";"China";44.3;2014
"Fu Jen Catholic University";"Taiwan";44.3;2014
"China Pharmaceutical University";"China";44.3;2014
"Tarbiat Modares University";"Iran";44.29;2014
"University of Puerto Rico at Mayagüez";"Puerto Rico";44.29;2014
"National University of Rosario";"Argentina";44.29;2014
"University of Pau and Pays de l'Adour";"France";44.29;2014
"Xidian University";"China";44.29;2014
"Zhejiang University of Technology";"China";44.28;2014
"China Medical University (PRC)";"China";44.28;2014
"Federal University of ABC";"Brazil";44.28;2014
"King Juan Carlos University";"Spain";44.27;2014
"Beijing University of Technology";"China";44.27;2014
"Guangxi University";"China";44.27;2014
"Northwest A&F University";"China";44.27;2014
"Shanxi University";"China";44.26;2014
"Tamkang University";"Taiwan";44.26;2014
"Harbin Medical University";"China";44.26;2014
"Zhejiang Normal University";"China";44.26;2014
"King Abdulaziz University";"Saudi Arabia";44.26;2014
"Iran University of Science and Technology";"Iran";44.25;2014
"I-Shou University";"Taiwan";44.24;2014
"University of Maine (Le Mans)";"France";44.24;2014
"National Dong Hwa University";"Taiwan";44.24;2014
"National Taipei University of Technology";"Taiwan";44.24;2014
"Shaanxi Normal University";"China";44.23;2014
"National University of Defense Technology";"China";44.21;2014
"Yanbian University";"China";44.18;2014
"Harvard University";"USA";100.0;2015
"Stanford University";"USA";98.66;2015
"Massachusetts Institute of Technology";"USA";97.54;2015
"University of Cambridge";"United Kingdom";96.81;2015
"University of Oxford";"United Kingdom";96.46;2015
"Columbia University";"USA";96.14;2015
"University of California, Berkeley";"USA";92.25;2015
"University of Chicago";"USA";90.7;2015
"Princeton University";"USA";89.42;2015
"Cornell University";"USA";86.79;2015
"Yale University";"USA";86.61;2015
"California Institute of Technology";"USA";84.4;2015
"University of Tokyo";"Japan";78.23;2015
"University of Pennsylvania";"USA";77.6;2015
"University of California, Los Angeles";"USA";76.91;2015
"Johns Hopkins University";"USA";71.6;2015
"Kyoto University";"Japan";68.6;2015
"New York University";"USA";68.39;2015
"University of Michigan, Ann Arbor";"USA";68.36;2015
"Swiss Federal Institute of Technology in Zurich";"Switzerland";66.93;2015
"University of California, San Diego";"USA";66.59;2015
"Northwestern University";"USA";66.56;2015
"Hebrew University of Jerusalem";"Israel";65.71;2015
"Seoul National University";"South Korea";64.82;2015
"University of Wisconsin–Madison";"USA";64.51;2015
"University of California, San Francisco";"USA";63.69;2015
"University College London";"United Kingdom";62.27;2015
"Duke University";"USA";61.55;2015
"Rockefeller University";"USA";61.28;2015
"University of Texas at Austin";"USA";61.14;2015
"University of Washington - Seattle";"USA";60.61;2015
"University of Toronto";"Canada";60.04;2015
"University of Illinois at Urbana–Champaign";"USA";59.94;2015
"Keio University";"Japan";59.84;2015
"Imperial College London";"United Kingdom";59.61;2015
"École Polytechnique";"France";59.2;2015
"École normale supérieure - Paris";"France";58.8;2015
"Waseda University";"Japan";58.17;2015
"Weizmann Institute of Science";"Israel";57.17;2015
"University of North Carolina at Chapel Hill";"USA";57.09;2015
"University of Virginia";"USA";56.73;2015
"McGill University";"Canada";56.49;2015
"Purdue University, West Lafayette";"USA";56.39;2015
"Dartmouth College";"USA";56.35;2015
"Osaka University";"Japan";56.03;2015
"University of Pittsburgh - Pittsburgh Campus";"USA";55.63;2015
"Pennsylvania State University, University Park";"USA";55.54;2015
"University of Minnesota, Twin Cities";"USA";55.51;2015
"Ohio State University, Columbus";"USA";55.39;2015
"Rutgers University-New Brunswick";"USA";55.23;2015
"University of Southern California";"USA";55.12;2015
"Washington University in St. Louis";"USA";55.03;2015
"University of California, Davis";"USA";54.85;2015
"University of Colorado Boulder";"USA";54.62;2015
"University of Edinburgh";"United Kingdom";54.39;2015
"Peking University";"China";54.26;2015
"National Taiwan University";"Taiwan";54.23;2015
"University of Paris-Sud";"France";54.21;2015
"Lomonosov Moscow State University";"Russia";54.19;2015
"University of Florida";"USA";54.18;2015
"Carnegie Mellon University";"USA";54.0;2015
"University of British Columbia";"Canada";53.92;2015
"Pierre-and-Marie-Curie University";"France";53.79;2015
"University of California, Santa Barbara";"USA";53.63;2015
"National University of Singapore";"Singapore";53.44;2015
"Boston University";"USA";53.43;2015
"University of Manchester";"United Kingdom";53.38;2015
"University of Arizona";"USA";53.26;2015
"Vanderbilt University";"USA";53.05;2015
"University of Utah";"USA";52.89;2015
"Karolinska Institute";"Sweden";52.79;2015
"University of Maryland, College Park";"USA";52.72;2015
"Tohoku University";"Japan";52.57;2015
"University of Copenhagen";"Denmark";52.51;2015
"University of Texas Southwestern Medical Center";"USA";52.5;2015
"Ruprecht Karl University of Heidelberg";"Germany";52.32;2015
"University of Notre Dame";"USA";52.27;2015
"Tsinghua University";"China";52.21;2015
"Ludwig Maximilian University of Munich";"Germany";52.16;2015
"Georgia Institute of Technology";"USA";52.08;2015
"University of Rochester";"USA";52.03;2015
"Katholieke Universiteit Leuven";"Belgium";52.03;2015
"Brown University";"USA";52.01;2015
"Emory University";"USA";51.85;2015
"Erasmus University Rotterdam";"Netherlands";51.78;2015
"Tel Aviv University";"Israel";51.75;2015
"Utrecht University";"Netherlands";51.74;2015
"University of Sydney";"Australia";51.61;2015
"University of California, Irvine";"USA";51.51;2015
"University of Texas MD Anderson Cancer Center";"USA";51.51;2015
"Swiss Federal Institute of Technology in Lausanne";"Switzerland";51.47;2015
"University of Geneva";"Switzerland";51.46;2015
"University of Melbourne";"Australia";51.34;2015
"King's College London";"United Kingdom";51.31;2015
"Tufts University";"USA";51.22;2015
"University of Zurich";"Switzerland";51.14;2015
"Arizona State University";"USA";51.13;2015
"Yonsei University";"South Korea";51.02;2015
"University of Oslo";"Norway";50.81;2015
"Kyushu University";"Japan";50.6;2015
"Technical University of Munich";"Germany";50.58;2015
"Texas A&M University, College Station";"USA";50.43;2015
"University of Queensland";"Australia";50.4;2015
"Mines ParisTech";"France";50.34;2015
"Case Western Reserve University";"USA";50.28;2015
"Indiana University - Bloomington";"USA";50.26;2015
"University of Alberta";"Canada";50.25;2015
"Leiden University";"Netherlands";50.17;2015
"Tokyo Institute of Technology";"Japan";50.13;2015
